,lat,long,class,text,time,scale
0,-43.901673,172.361529,D,1,1,2.0
1,-43.740482,112.921114,D,1,1,2.0
2,-43.014123,147.13366,D,1,1,2.0
3,-41.362455,174.613267,D,1,1,2.0
4,-38.789293,-72.82102,D,1,1,2.0
5,-38.433859,144.593742,D,12,12,6.928203230275509
6,-38.359426,144.280124,D,1,1,2.0
7,-37.292621,174.161834,D,6,6,4.898979485566356
8,-36.457014,145.338537,D,1,1,2.0
9,-36.115989,146.873234,D,1,1,2.0
10,-35.48026,148.995922,D,2,2,2.8284271247461903
11,-35.411102,150.424182,D,1,1,2.0
12,-35.34897,138.44213,D,2,2,2.8284271247461903
13,-34.980163,-58.491052,D,1,1,2.0
14,-34.834247,16.447593,D,1,1,2.0
15,-34.674453,-58.531792,D,1,1,2.0
16,-34.518913,-58.977471,D,1,1,2.0
17,-34.384297,-62.889222,D,1,1,2.0
18,-34.35839,18.318033,D,1,1,2.0
19,-34.118347,150.520929,D,16,16,8.0
20,-33.941223,18.589352,D,1,1,2.0
21,-33.781474,-62.012068,D,1,1,2.0
22,-33.751051,-73.991482,D,1,1,2.0
23,-33.749159,151.180256,D,1,1,2.0
24,-33.571733,-70.930215,D,1,1,2.0
25,-33.486182,-70.608694,D,1,1,2.0
26,-33.449973,-70.637692,D,1,1,2.0
27,-33.409388,-70.615011,D,1,1,2.0
28,-33.213554,-80.114855,D,1,1,2.0
29,-33.120457,151.555002,D,1,1,2.0
30,-33.033993,-60.781306,D,1,1,2.0
31,-32.784917,151.548642,D,2,2,2.8284271247461903
32,-32.675715,115.617614,D,4,4,4.0
33,-31.814193,-60.573516,D,1,1,2.0
34,-30.396285,-71.075165,D,1,1,2.0
35,-30.268807,-51.306148,D,1,1,2.0
36,-30.13522,-71.345398,D,1,1,2.0
37,-28.876309,153.519619,D,1,1,2.0
38,-27.838936,-48.610313,D,4,4,4.0
39,-27.767441,152.668523,D,6,6,4.898979485566356
40,-27.061288,-48.677489,D,1,1,2.0
