,company,description,location,posted,title
0,Savers Inc.,seeking dynamic social community digital content manager passion digital marketing clear pov role social media plays connecting customers drive business results key role demonstrated understanding consumer behavior applying insights daily interactions customers drive traffic sales retention ideal candidate proven track record managing social online communities enhancing connections millennial minded consumers thoughtful digital experiences deep understanding tools platforms technologies social media experience reporting consumer insights qualitative quantitative analysis reporting director communications responsible bringing brand voice life across social media website properties role also accountable defining community management content strategy workflows processes execution collaborate closely marketing managers partner agencies execute paid social influencer strategies brand campaigns seasonal initiatives role encompasses program management strategy execution including partnering resourcing tools management analysis optimization creative development project management day day includes community management data analysis proactive campaign planning copy content development summary key responsibilities primary working relationships marketing communications merchandising marketing services agency partners strategic planning leadership develop strategic plans amplify brand within social media globally local communities contributing yoy sales objectives best class levels customer satisfaction provide strategic vision direction social cross functional teams gain alignment phases projects develop evolve community management processes workflow operations extend corporate social media initiatives international counterparts develop global playbooks best practices assets promote present social media initiatives internal stakeholders executives content development social website manage branded social media online channels twitter facebook youtube linkedin etc develop digital content marketing strategies integrated content calendars close collaboration social paid earned media along corporate communications marketing merchandising shepherd creative development process deliverables support community management strategy brand promotional initiatives develop online merchandising roadmap including website homepage interior pages landing pages align seasonal marketing calendars content strategies inform wireframes work creative teams implement execute online digital experiences community management maintain consistent voice across owned channels aligned branding target audience discover trending topics community needs interests target audiences adjusting content messaging accordingly monitor conversations across social media address respond complaints requests mentions advocacy owned earned social media real time content analytics establish metrics measure value content solutions including content brand integrity content accuracy relevance aggregate data actionable insights inform marketing partnership agency teams provide optimization direction improve content based data analytics impact discoverability actively work digital marketing agency particularly integrating seo conversion rate optimization website content strategies job requirements required knowledge skills abilities digital native hands experience content marketing publishing understands design thinking user experience across multiple channels understand nuances social platforms demonstrated experience designing implementing content strategy linked business growth objectives experience global organizations localization considerations broad understanding industry standard social media tools spanning listening analytics social media publishing independent strategic creative thinker strong collaborative team player impeccable attention detail exceptional writing skills strong understanding create content draws audience ability communicate difficult understand concepts tell powerful story leveraging narrative graphics video capacity balance prioritize deliver excellent results tight deadlines outstanding analytical skills capable interpreting data improve content effectiveness required education training experience related experience education field marketing communications advertising 3 5 years experience social media community management 5 years general digital marketing experience preferably representing national retail brand tools equipment used laptop desktop computer strong command msword outlook excel powerpoint adobe indesign strong technical proficiency social media platforms content management production software analytics tools bonus confident using photoshop sharepoint drupal external cms,"Bellevue, WA",Posted 17 days ago,Senior Social Media/Marketing Manager
1,Advantage Resourcing,position requires business data analyst systems analyst someone able make strategic business recommendations based data analysis opposed someone works stakeholders implement systems changes someone skill set around market research pricing marketing financial analysis would good fit key requirements strong emphasis tableau data analytics experience supporting business conduct analysis create business cases support data driven decisions ideally sales marketing organizations partner business deep dive organization understand business needs challenges create dashboards optimum visualization provide analytical support product management teams preparing data reports analysis use business planning decision making must experience working enterprise software company principal responsibilities supports business compiling preparing reporting data metrics used analysis sales marketing performance produces analysis create solid business cases support data driven decisions evaluates business problems compiles analyzes available resources recommends solutions builds publishes maintains data visualizations dashboards use various stakeholders optimizes reporting visualizations dashboards suit user needs increase usability performance documents team data sources methodologies processes actively participates assigned projects collaborates team members issues problem resolution identifies projects noteworthy areas analysis improve business planning decision making performs duties required requirements 3 years relevant work experience proven record business analysis marketing finance product management engineering 2 years tableau data visualizations experience cleansing blending transforming data intermediate advanced excel experience strong vlookup pivot skills sales analytics experience strongly preferred advantage ref number 257236at advantage resourcing primary objective perfectly align best people appropriate jobs jobs may temporary assignments career positions place talented people wide variety jobs working client companies areas engineering technical manufacturing skilled trades distribution call centers clerical accounting finance sales strength able solve client workforce needs matching people right skills knowledge motivation opportunity advantage resourcing help discover personal career success desire advantage resourcing americas inc equal opportunity employer offering employment without regard race color religious creed national origin ancestry gender marital status age sexual orientation sex gender identity disability veteran status legally protected categories advantage resourcing vevraa federal contractor,"Seattle, WA",Posted 25 days ago,Business Analyst - Data Analytics
2,Advantage Resourcing,hospital marketing data analyst description position overview looking talented individual join growing hospital marketing team role opportunity tackle complex business questions facing hospitals healthcare industry primary function position help team design optimize data analytical processes well project manage database creation implementation analytics successful candidate must self starter strong sense curiosity passionate uncovering insights data extreme attention detail fear incomplete messy data motivated improve patient outcomes person report sr manager hospital marketing work closely market access healthcare economists enterprise analytics clinical marketing sales roles responsibilities create implement manage scalable databases real world healthcare data incorporate disparate data sources potentially incomplete need data cleansing prototype analytic solutions customers company perform project manage customer analytics extract insights help customers evaluate robotic assisted surgery program strategic planning design automate core analytical components reports improve efficiency customer analytics perform ad hoc analytics present findings management inform drive hospital marketing strategy deeply understand customers collect record analyze health surgery information strengths limitations data processes identify gaps data capture collection propose potential solutions work hospital marketing teams improve data coverage depth enable meaningful analytics work enterprise analytics organizations database architecture automation curios continually seek learn internal teams customers external sources enhance knowledge skills analytics data interpretation communication greater healthcare economics trends qualifications skill job requirements bachelors degree computer science mathematics statistics business analytics data science related field 2 years experience using database systems complex sql 2 years working analytics visualization tools tableau qlikview spotfire etc experience database design implementation proficiency using programming tools manipulate data python r java ability extract interpret data various sources good knowledge statistical methods applications ability understand cohort analysis beyond averages detail oriented able think analytically use sound judgment capable building solutions solving problems displaying excellent critical thinking strong organizational skills ability meet deadlines changing environment perform multiple tasks effectively concurrently self management important good communication skills oral written including strong presentation skills ability build manage relationships internal external teams background healthcare familiarity surgery preferred required needs strong interest healthcare area specifically surgical hospital space demonstration initiative creativity desire make work fun advantage resourcing primary objective perfectly align best people appropriate jobs jobs may temporary assignments career positions place talented people wide variety jobs working client companies areas engineering technical manufacturing skilled trades distribution call centers clerical accounting finance sales strength able solve client workforce needs matching people right skills knowledge motivation opportunity advantage resourcing help discover personal career success desire advantage resourcing americas inc equal opportunity employer offering employment without regard race color religious creed national origin ancestry gender marital status age sexual orientation sex gender identity disability veteran status legally protected categories advantage resourcing vevraa federal contractor,"Sunnyvale, CA",Posted 20 days ago,Hospital Marketing Data Anlyst
3,CyberCoders,position open 10 23 2016 data product manager data science analytics sql pythonif data product manager experience please read based san francisco ca company curates big data analytics healthcare life sciences industry value innovative solutions constant improvement team collaboration startup looking data product manager wow us contribute development rising healthcare platform experience data science analytics python jira agile development methodologies would love hear looking data product manager creativity problem solving strong people skills addition background advanced analytics critical opportunity join growing team focused using best data sources build product address complex issues healthcare life sciences industry need positionat least 3 years experience knowledge data science analytics sql python agile development jirawhat youwe willing offer excellent compensation packages including base salary 90k 120k bonus doe medical dental vision 401k matching located san francisco blocks away park almost hear fans cheeringso data product manager experience please apply today required skillsdata science analytics sql python agile development jiraif good fit data product manager data science analytics sql python position background includes data science analytics sql python agile development jira interested working following job types information technology engineering professional serviceswithin following industries healthcare health services banking financial services biotechnologyour privacy policy resume information kept completely confidential looking forward receiving resume website going job detail cybercoders inc proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right work compliance federal law persons hired required verify identity eligibility work united states complete required employment eligibility verification document form upon hire job requirements data science analytics sql python agile development jira,"San Francisco, CA",Posted 1 day ago,Data Product Manager
4,"Lab Support, a division of On Assignment",research associate east bay key responsibilities perform routine ngs sample prep protocol analyze data using established methods assist development processes products including process optimization stability studies guardband studies keep diligent records written reports required skills background education industrial experience molecular biology biochemistry related field bs 0 2 years research experience proficient standard molecular biology techniques including pcr rt pcr ligation restriction digestion gel electrophoresis ability perform repetitive work perform continuously work according set procedures sequence pace excellent communication problem solving skills detail oriented strong laboratory skills ability analyze interpret trouble shoot experiments ability maintain high standard courtesy cooperation scientists desire part rapidly evolving organization email [click email resum ] eeo employer lab support equal opportunity affirmative action employer evaluate qualified applicants without regard race color religion sex national origin disability veteran status protected characteristics visited website search information employment opportunities apply position require accommodation using website search application please contact employee services department 866 612 2739 eeo employerlab support equal opportunity affirmative action employer evaluate qualified applicants without regard race color religion sex national origin disability veteran status protected characteristics visited website search information employment opportunities apply position require accommodation using website search application please contact employee services department 866 612 2739,"Pleasanton, CA",Posted 29 days ago,Research Associate
5,The Creative Group,ref id 00340 0008875623classification social mediacompensation doeif looking land job soon social media manager looking utilize professional experience asap project social media manager opportunity needs candidates immediately note looking social media managers least 2 years direct professional corporate experience interested social media manager opportunity please send current resume sana [click email resum ] looking forward hearing overall responsibilities social media manager see campaigns start finish includes creative direction marketing campaigns copywriting execution analyzing tracking reporting key metrics ensure growth social media analytics tool simply measured experience social media ad buying preferences working advertisement development across social media channels also engage day day community management activating community responses social media job requirements social media manager requirements 2 years direct professional corporate experience running social media channels experience using social media analytics tools good writing skills copywriting current online social media trends creative group robert half company specializes placing highly skilled marketing advertising design interactive public relations professionals project full time basis advertising public relations agencies fortune 500 companies small mid sized firms faster finding work strong network reach 12 000 creative marketing hiring managers week addition free job search services provide candidates access online skills training competitive benefits compensation package parent company robert half named fortune magazine list world admired companies highest ranked staffing firm march 1 2016 apply job contact branch office 1 888 846 1668 learn position applicants applying u job openings must authorized work united states applicants applying canadian job openings must authorized work canada equal opportunity employer f disability vetby clicking apply agreeing robert half terms use,"Emeryville, CA",Posted 18 days ago,Social Media Manager Opportunity starting ASAP!
6,Lucile Packard Foundation,prospect research assistant supports strategic goals operations data analytics prospect research dapr department lucile packard foundation children health general position duties responsibilities direction assistant director essential duties prospect research assistant include proactively identify research analyze new existing donors prospects gift cultivation interpret analyze biographical financial information individuals corporations foundations based fundraising strategies objectives inform fundraising process actively participate portfolio review prospect strategy discussions monitor periodicals sources philanthropy career news relevant data prospects circulate appropriate end user update database manage event bio process compile edit background information donor events train staff event bio procedures track department subscriptions ensure lapse maintain research related spreadsheets documents perform raiser edge updates research department large scale data mining projects recommend new approaches procedures processes effect continual improvements efficiency department services performed regular predictable attendance required duties assigned note dynamic organization rapidly changing industry therefore responsibilities associated position change time time accordance lpfch business needs specifically incumbent may required perform additional different responsibilities set forth job requirements education skills experience education required bachelor degree skills experience job related requirements perform job successfully individual must able perform essential duty satisfactorily requirements listed representative knowledge skill ability required reasonable accommodations may made enable individuals disabilities perform essential functions required 1 2 years experience administration fundraising development research information services related field proficient microsoft including outlook excel must able work well pressure deadlines able handle several projects simultaneously able shift priorities needed demonstrated ability complete assignments timely manner must impeccable attention detail self motivation flexibility work independently team highly developed verbal written communication skills ability communicate technical concepts non technical audiences preferred experience raiser edge preferred previous experience donor prospect research preferred experience tableau plus required physical requirements performing duties job employee frequently required sit talk hear employee frequently required use head neck static position twisting looking directions include employee frequently required stand walk use whole hand include fine finger dexterity reach hands arms crouch employee occasionally required lift move 15 pounds specific vision abilities required job include close vision distance vision color vision peripheral vision depth perception ability adjust focus job duties may require physical abilities include conducting presentations seated standing walking meetings sitting desk participating business conversations filing retrieving files reports books desks cabinets overhead shelves low drawers opening closing drawers cabinets doors using pc mouse keyboard views pc screen focuses reading materials pc screen engaging business writing reading business related materials visuals meetings interprets report data color answering operating telephone manually using headset operating business machines include telephones pc printers copiers mailing equipment physical requirements described representative must met employee successfully perform essential functions job reasonable accommodations may made enable individuals disabilities perform essential functions working environment characteristics work environment described representative employee encounters performing essential functions job reasonable accommodations may made enable individuals disabilities perform essential functions employee exposed mild moderate stress levels associated performance job duties described may extended periods computer telephone use performing job duties employee intermittently seated standing walking course normal business day local travel using employee vehicle mode transportation required long distance travel may required noise level work environment usually low moderate work environments employees exposed routine office noise including office machines phones conversations employees constituents visitors general office open spaces offices conference rooms phones break rooms office environment inside office temperatures may fluctuate although use cal osha standards temperature control employees may find temperature work area would prefer employees dress appropriately temperature work area work environment consists offices cubicles shared two employees office cubicle assignments change time time employees expectation assignment permanent statements reflect general details necessary describe principle functions position described shall construed detailed description work requirements may inherent position work may assigned lucile packard foundation children health equal opportunity employer committed equality opportunity employees reasonable accommodation considered employees requiring perform essential functions position salary benefits compensation benefits lucile packard foundation children health competitive among best industry value support life work balance encourage support employees seeking opportunities enhance careers ongoing development skills abilities apply apply online submitting cover letter resume lucile packard foundation children health 400 hamilton avenue suite 340 palo alto california 94301 fax 650 498 7738 www lpfch org lucile packard foundation children health equal opportunity employer women minorities veterans persons disabilities encouraged apply,"Palo Alto, CA",Posted 23 days ago,Prospect Research Assistant
7,Accountemps,ref id 00420 9500216929classification pension administratorcompensation 24 00 29 00 per hour oversees processing payroll data maintains ensures computing withholding deductions associated net pay done properly run special payroll needed organizes reviews forms associated federal state local authorities w 2s oversees distribution paychecks arranges direct deposit ensures payroll records updated reports matters interest responsible balancing payroll runs producing federal state garnishments tax payments resolve employee concerns related paychecks deductions taxes create maintained payroll procedures process balance 401 k contributions upkeep weekly audits input maintain audit extract modify analyze confidential hr payroll data various software modules produce hr analytics needed company develop new strategies delivery mechanisms reporting job requirements minimum 3 years payroll processing bachelor degree accounting business hr preferred proficient personnel data systems pds vista hrms adp experience heavy hris importing exporting data analysis multi state payroll process advanced excel skills e vlookups pivot tables formulas scenarios accountemps robert half company world leader specialized temporary financial staffing provide exciting temporary temporary hire project opportunities areas accounting bookkeeping finance proven proprietary processes along relationships 345 locations worldwide allow us quickly match skilled professionals best temporary accounting finance jobs parent company robert half successfully matching professionals employers since 1948 addition offer competitive pay challenging careers assignments excellent opportunities full time employment take word company named fortune magazine list world admired companies highest ranked staffing firm march 1 2016 9 10 clients candidates would recommend service colleague contact local accountemps office 888 670 5403 visit roberthalf com accountemps apply job find job opportunities applicants applying u job openings must authorized work united states applicants applying canadian job openings must authorized work canada equal opportunity employer f disability vetby clicking apply agreeing robert half terms use,"San Jose, CA",Posted 2 days ago,PAYROLL ADMINISTRATOR
8,Apex Systems,data analyst data consultant general supervision position exists assist organization making strategic data related decisions analyzing manipulating tracking internally managing reporting data position functions consultant high level statistical analytics programmer essential functions designs menu systems effective user friendly develops reports accurate easy read useful information designs generates tracking monitoring tools participates development outcomes process measures including technical specifications enable population measurement guideline implementation evaluation builds maintains complex statistical routines using macros vendor software software written self others tests maintains data integrity across multiple databases external adobe excel ms access sas defines frames complex multi dimensional healthcare issues develops time tables processes decision making translates needs issues ideas effective strategies action plans formulates specific implementation plans evaluates effectiveness actions programs implemented develops creative alternative solutions works closely outside partners may coordinate team project activities schedules may assist determination goals priorities team clients project management sponsors may provide leadership multi disciplinary project teams communicates results recommendations project sponsors clients various senior level audiences basic qualifications experience minimum three 3 years related analytical consulting experience education bachelor degree economics finance health care administration public health administration statistics mathematics operations research related field required four 4 years experience directly related field high school diploma general education development ged required additional requirements broad familiarity medical practices especially population management process outcomes measurement experience analytical manipulation interpretation large databases required microsoft office skills required strong analytic critical thinking skills writing skills communication skills consulting skills ability work within team ability express complex analytical technical information senior management audiences clinical training must independent self starter eeo employerapex systems llc equal opportunity affirmative action employer evaluate qualified applicants without regard race color religion sex national origin disability veteran status protected characteristics visited website search information employment opportunities apply position require accommodation using website search application please contact employee services department 844 463 6178,"Oakland, CA",Posted 5 days ago,Data Reporting Analyst
9,CyberCoders,position open 10 23 2016 manager software supportwe pioneering next generation accuracy reliability preconception prenatal genetic testing services enabling couples informed pregnancy step way company offers wide range tests preimplantation genetic diagnosis pgd ivf breakthrough advances field non invasive prenatal testing nipt using advances human genome project powered sophisticated proprietary bioinformatic algorithms comprehensive portfolio tests proven science experienced genetic counseling services deliver accurate results industry come top reasons work us healthy catered lunches premium snacks beverages onsite gym cardio weight training equipment dog friendly office game room satellite tv onsite dry cleaning alteration service pick delivery complimentary chair massages ample employee garage parking employee organized sport leagues happy hours bbqs generous employee referral program close downtown san carlos shops restaurantswhat responsible leading team focused customer support operational improvements efficiencies develop vision goals priorities work alongside team accomplish provide technical support laboratory information management systems lims cloud based data analytics software platform respond incoming requests service incidents software customers drive informed timely solution partner product management engineering translate customer needs better overall product independently recognize trends customer feedback escalate issues partner r establish maintain reliable process providing timely efficient r support ensure work completed according established policies procedures standards assist staff adhering department work schedules maintained projects proceed according plans job specifications plan schedule coordinate manage maintenance software releases multiple applications across different projects lead coordinate go live activities maintenance releases including execution deployment plans checklists conduct maintenance release readiness reviews business go go reviews communicate release details schedules business provide periodic operational reports metrics build tools facilitate support activities need position 2 years experience managing technical support team 5 years programming experience providing support software product hands technical experience combined strong management communication skills skilled problem solving decision making negotiations ability navigate challenging situations professional manner hands experience implementing troubleshooting supporting internet based applications web servers data storage workflow engines linux unix operating systems experience java python groovy good knowledge databases fluency sql prior experience mysql oracle plus proven ability execute customer focused environment advocate customers across cross functional organization demonstrated ability manage changing multiple priorities experience managing shore team nice bs ms degree computer science related technical field equivalent practical experience medical dental vision coverage employees families 401k retirement savings plan company matching flexible paid time ten paid holidays per year disability life insurance coverage offered additional cost employee assistance program working advantage employee purchasing program discounts 60 commuter fsa program transit spending account options available taking public transit work located near belmont san carlos caltrain stations manager software support experience please apply today required skillsjava lims support linux unix python groovy sql mysql oracleif good fit manager software support w java experience position background includes java lims support linux unix python groovy sql mysql oracle interested working following job types information technology engineering professional serviceswithin following industries biotechnology banking financial services biotechnologyour privacy policy resume information kept completely confidential looking forward receiving resume website going job detail cybercoders inc proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right work compliance federal law persons hired required verify identity eligibility work united states complete required employment eligibility verification document form upon hire job requirements java lims support linux unix python groovy sql mysql oracle,"San Carlos, CA",Posted 12 hours ago,"Manager, Software Support"
